index,file_name,class,state,label
550,10550.png,cable,good,cable-good
551,10551.png,transistor,good,transistor-good
552,10552.png,bottle,good,bottle-good
553,10553.png,wood,good,wood-good
554,10554.png,zipper,good,zipper-good
555,10555.png,carpet,color,carpet-color
556,10556.png,pill,good,pill-good
557,10557.png,zipper,split_teeth,zipper-split_teeth
558,10558.png,pill,good,pill-good
559,10559.png,grid,good,grid-good
560,10560.png,hazelnut,good,hazelnut-good
561,10561.png,wood,good,wood-good
562,10562.png,hazelnut,good,hazelnut-good
563,10563.png,leather,good,leather-good
564,10564.png,screw,good,screw-good
565,10565.png,tile,good,tile-good
566,10566.png,bottle,good,bottle-good
567,10567.png,zipper,good,zipper-good
568,10568.png,leather,good,leather-good
569,10569.png,bottle,good,bottle-good
570,10570.png,wood,good,wood-good
571,10571.png,pill,good,pill-good
572,10572.png,hazelnut,good,hazelnut-good
573,10573.png,toothbrush,defective,toothbrush-defective
574,10574.png,bottle,good,bottle-good
575,10575.png,transistor,good,transistor-good
576,10576.png,hazelnut,good,hazelnut-good
577,10577.png,wood,good,wood-good
578,10578.png,transistor,good,transistor-good
579,10579.png,leather,good,leather-good
580,10580.png,bottle,good,bottle-good
581,10581.png,bottle,good,bottle-good
582,10582.png,grid,bent,grid-bent
583,10583.png,transistor,good,transistor-good
584,10584.png,bottle,good,bottle-good
585,10585.png,metal_nut,scratch,metal_nut-scratch
586,10586.png,grid,good,grid-good
587,10587.png,screw,good,screw-good
588,10588.png,leather,good,leather-good
589,10589.png,pill,good,pill-good
590,10590.png,grid,good,grid-good
591,10591.png,pill,combined,pill-combined
592,10592.png,grid,good,grid-good
593,10593.png,metal_nut,good,metal_nut-good
594,10594.png,metal_nut,good,metal_nut-good
595,10595.png,transistor,good,transistor-good
596,10596.png,grid,good,grid-good
597,10597.png,tile,good,tile-good
598,10598.png,leather,good,leather-good
599,10599.png,hazelnut,print,hazelnut-print
600,10600.png,zipper,good,zipper-good
601,10601.png,toothbrush,good,toothbrush-good
602,10602.png,tile,good,tile-good
603,10603.png,capsule,good,capsule-good
604,10604.png,capsule,good,capsule-good
605,10605.png,zipper,split_teeth,zipper-split_teeth
606,10606.png,cable,good,cable-good
607,10607.png,hazelnut,good,hazelnut-good
608,10608.png,grid,good,grid-good
609,10609.png,metal_nut,good,metal_nut-good
610,10610.png,cable,good,cable-good
611,10611.png,carpet,good,carpet-good
612,10612.png,leather,good,leather-good
613,10613.png,pill,good,pill-good
614,10614.png,screw,good,screw-good
615,10615.png,leather,good,leather-good
616,10616.png,tile,good,tile-good
617,10617.png,capsule,good,capsule-good
618,10618.png,leather,cut,leather-cut
619,10619.png,wood,good,wood-good
620,10620.png,metal_nut,good,metal_nut-good
621,10621.png,carpet,good,carpet-good
622,10622.png,wood,good,wood-good
623,10623.png,grid,good,grid-good
624,10624.png,carpet,good,carpet-good
625,10625.png,capsule,good,capsule-good
626,10626.png,carpet,good,carpet-good
627,10627.png,tile,good,tile-good
628,10628.png,metal_nut,flip,metal_nut-flip
629,10629.png,toothbrush,good,toothbrush-good
630,10630.png,grid,good,grid-good
631,10631.png,leather,good,leather-good
632,10632.png,grid,good,grid-good
633,10633.png,cable,good,cable-good
634,10634.png,cable,combined,cable-combined
635,10635.png,wood,scratch,wood-scratch
636,10636.png,cable,good,cable-good
637,10637.png,hazelnut,good,hazelnut-good
638,10638.png,wood,good,wood-good
639,10639.png,zipper,good,zipper-good
640,10640.png,metal_nut,good,metal_nut-good
641,10641.png,carpet,hole,carpet-hole
642,10642.png,pill,good,pill-good
643,10643.png,carpet,good,carpet-good
644,10644.png,cable,good,cable-good
645,10645.png,bottle,good,bottle-good
646,10646.png,cable,good,cable-good
647,10647.png,grid,good,grid-good
648,10648.png,grid,good,grid-good
649,10649.png,pill,good,pill-good
650,10650.png,leather,good,leather-good
651,10651.png,capsule,good,capsule-good
652,10652.png,cable,good,cable-good
653,10653.png,bottle,good,bottle-good
654,10654.png,toothbrush,good,toothbrush-good
655,10655.png,metal_nut,color,metal_nut-color
656,10656.png,leather,good,leather-good
657,10657.png,pill,good,pill-good
658,10658.png,grid,good,grid-good
659,10659.png,zipper,good,zipper-good
660,10660.png,metal_nut,good,metal_nut-good
661,10661.png,cable,good,cable-good
662,10662.png,pill,good,pill-good
663,10663.png,leather,good,leather-good
664,10664.png,leather,good,leather-good
665,10665.png,cable,good,cable-good
666,10666.png,zipper,good,zipper-good
667,10667.png,tile,good,tile-good
668,10668.png,tile,good,tile-good
669,10669.png,transistor,good,transistor-good
670,10670.png,carpet,good,carpet-good
671,10671.png,pill,faulty_imprint,pill-faulty_imprint
672,10672.png,transistor,good,transistor-good
673,10673.png,hazelnut,good,hazelnut-good
674,10674.png,bottle,good,bottle-good
675,10675.png,pill,scratch,pill-scratch
676,10676.png,capsule,scratch,capsule-scratch
677,10677.png,pill,good,pill-good
678,10678.png,leather,good,leather-good
679,10679.png,grid,broken,grid-broken
680,10680.png,tile,good,tile-good
681,10681.png,bottle,good,bottle-good
682,10682.png,metal_nut,bent,metal_nut-bent
683,10683.png,zipper,good,zipper-good
684,10684.png,wood,good,wood-good
685,10685.png,tile,good,tile-good
686,10686.png,pill,good,pill-good
687,10687.png,carpet,good,carpet-good
688,10688.png,hazelnut,hole,hazelnut-hole
689,10689.png,tile,good,tile-good
690,10690.png,pill,good,pill-good
691,10691.png,metal_nut,good,metal_nut-good
692,10692.png,wood,good,wood-good
693,10693.png,tile,good,tile-good
694,10694.png,pill,contamination,pill-contamination
695,10695.png,capsule,good,capsule-good
696,10696.png,grid,good,grid-good
697,10697.png,tile,good,tile-good
698,10698.png,zipper,good,zipper-good
699,10699.png,zipper,good,zipper-good
700,10700.png,zipper,good,zipper-good
701,10701.png,bottle,good,bottle-good
702,10702.png,zipper,broken_teeth,zipper-broken_teeth
703,10703.png,hazelnut,good,hazelnut-good
704,10704.png,tile,good,tile-good
705,10705.png,screw,good,screw-good
706,10706.png,leather,good,leather-good
707,10707.png,metal_nut,good,metal_nut-good
708,10708.png,metal_nut,good,metal_nut-good
709,10709.png,pill,good,pill-good
710,10710.png,hazelnut,print,hazelnut-print
711,10711.png,carpet,hole,carpet-hole
712,10712.png,bottle,broken_large,bottle-broken_large
713,10713.png,hazelnut,good,hazelnut-good
